PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Jacquizz Rodgers,,NYJ,W 15-10,,0/0,0,0,0,,3,12,0,,0,0,0,0,,0,0,0,,1.2
James Conner*,,@Ind,W 20-17,,0/0,0,0,0,,1,12,0,,0,0,0,0,,0,0,0,,1.2
TJ Jones*,,Cle,W 38-24,,0/0,0,0,0,,0,0,0,,1,2,0,3,,0,0,0,,1.2
A.J. Derby,,@Car,L 21-45,,0/0,0,0,0,,0,0,0,,1,2,0,1,,0,0,0,,1.2
Eli Rogers,,@Ind,W 20-17,,0/0,0,0,0,,0,0,0,,1,2,0,1,,0,0,0,,1.2
Alfred Blue,,@LAR,L 7-33,,0/0,0,0,0,,4,10,0,,0,0,0,0,,0,0,0,,1
Zach Line,,@Buf,W 47-10,,0/0,0,0,0,,1,9,0,,0,0,0,0,,0,0,0,,0.9
Derrick Coleman,,Dal,W 27-7,,0/0,0,0,0,,2,8,0,,0,0,0,0,,0,0,0,,0.8
Chris Ivory,,LAC,W 20-17,,0/0,0,0,0,,1,1,0,,1,-5,0,2,,0,0,0,,0.6
Devonta Freeman,,Dal,W 27-7,,0/0,0,0,0,,2,3,0,,0,0,0,0,,0,0,0,,0.3
C.J. Prosise*,,@Ari,W 22-16,,0/0,0,0,0,,3,3,0,,0,0,0,0,,0,0,0,,0.3
Andy Janovich,,NE,L 16-41,,0/0,0,0,0,,1,3,0,,0,0,0,0,,0,0,0,,0.3
C.J. Ham,,@Wsh,W 38-30,,0/0,0,0,0,,1,3,0,,0,0,0,0,,0,0,0,,0.3
Tavon Austin,,Hou,W 33-7,,0/0,0,0,0,,5,2,0,,0,0,0,0,,0,0,0,,0.2
Brandon Bolden,,@Den,W 41-16,,0/0,0,0,0,,2,1,0,,0,0,0,0,,0,0,0,,0.1
Jalston Fowler,,@Ari,W 22-16,,0/0,0,0,0,,1,1,0,,0,0,0,0,,0,0,0,,0.1
Braxton Miller,,@LAR,L 7-33,,0/0,0,0,0,,1,1,0,,0,0,0,0,,0,0,0,,0.1
Andre Johnson,,Cin,W 24-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Anquan Boldin,,NO,L 10-47,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Kellen Winslow,,@TB,L 10-15,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
